'y-axis saved as y
'x,KHM052_h-CuMnAs_reflection_3_21_19_2.raw,Ycalc
8.69740499,186,188.939289
8.71789925,206,189.666896
8.73839351,196,190.386933
8.75888777,186,191.09914
8.77938204,207,191.803303
8.7998763,193,192.499233
8.82037056,190,193.186761
8.84086482,208,193.865734
8.86135909,214,194.536006
8.88185335,183,195.197442
8.90234761,181,195.849913
8.92284187,181,196.493293
8.94333614,187,197.127464
8.9638304,185,197.752308
8.98432466,211,198.367715
9.00481892,210,198.973575
9.02531319,199,199.569781
9.04580745,224,200.156232
9.06630171,208,200.732826
9.08679597,201,201.299466
9.10729024,210,201.856058
9.1277845,196,202.40251
9.14827876,208,202.938731
9.16877302,207,203.464635
9.18926729,216,203.980137
9.20976155,189,204.485156
9.23025581,213,204.979612
9.25075007,205,205.463429
9.27124434,221,205.93653
9.2917386,221,206.398844
9.31223286,194,206.850298
9.33272712,222,207.290816
9.35322139,233,207.720326
9.37371565,208,208.138763
9.39420991,226,208.546113
9.41470418,207,208.942399
9.43519844,207,209.327531
9.4556927,228,209.701425
9.47618696,180,210.064028
9.49668123,224,210.415296
9.51717549,214,210.75519
9.53766975,223,211.083671
9.55816401,197,211.400703
9.57865828,231,211.706252
9.59915254,183,212.00028
9.6196468,208,212.282752
9.64014106,245,212.553642
9.66063533,230,212.812975
9.68112959,190,213.060814
9.70162385,199,213.29711
9.72211811,215,213.521818
9.74261238,200,213.734922
9.76310664,219,213.936419
9.7836009,211,214.126311
9.80409516,218,214.304599
9.82458943,224,214.471291
9.84508369,202,214.626398
9.86557795,241,214.769935
9.88607221,220,214.901918
9.90656648,214,215.022361
9.92706074,222,215.131274
9.947555,201,215.228682
9.96804926,204,215.314618
9.98854353,202,215.389114
10.0090378,192,215.452202
10.0295321,197,215.503917
10.0500263,230,215.544299
10.0705206,224,215.573389
10.0910148,219,215.59123
10.1115091,233,215.597871
10.1320034,203,215.593361
10.1524976,209,215.577752
10.1729919,208,215.551094
10.1934862,221,215.513445
10.2139804,211,215.464867
10.2344747,255,215.405424
10.2549689,208,215.335183
10.2754632,232,215.254214
10.2959575,196,215.162582
10.3164517,212,215.060348
10.336946,216,214.947587
10.3574403,209,214.824382
10.3779345,203,214.690813
10.3984288,224,214.546963
10.418923,220,214.392915
10.4394173,212,214.228757
10.4599116,219,214.054578
10.4804058,247,213.870473
10.5009001,233,213.676542
10.5213944,191,213.472894
10.5418886,189,213.25965
10.5623829,186,213.036953
10.5828771,214,212.804928
10.6033714,220,212.56356
10.6238657,201,212.312558
10.6443599,190,212.051883
10.6648542,213,211.782375
10.6853485,198,211.503997
10.7058427,190,211.216566
10.726337,202,210.920506
10.7468312,191,210.615982
10.7673255,207,210.303015
10.7878198,203,209.981677
10.808314,215,209.652076
10.8288083,214,209.31433
10.8493026,211,208.968566
10.8697968,208,208.614922
10.8902911,210,208.253557
10.9107853,221,207.884668
10.9312796,202,207.508515
10.9517739,229,207.125442
10.9722681,214,206.735931
10.9927624,186,206.340682
11.0132567,198,205.940761
11.0337509,218,205.53788
11.0542452,192,205.13495
11.0747394,208,204.737219
11.0952337,184,204.353952
11.115728,187,203.995002
11.1362222,191,203.645189
11.1567165,191,203.22721
11.1772108,188,202.689356
11.197705,185,202.163992
11.2181993,208,201.667705
11.2386935,185,201.135722
11.2591878,209,200.595431
11.2796821,184,200.078243
11.3001763,182,199.576692
11.3206706,195,199.079723
11.3411649,198,198.584675
11.3616591,162,198.09278
